thienTuong	Thiên Tướng
thienLuong	Thiên Lương
thatSat	Thất Sát
phaQuan	Phá Quân
locTon	Lộc Tồn
kinhDuong	Kình Dương
daLa	Đà La
hoaTinh	Hỏa Tinh
linhTinh	Linh Tinh
vanXuong	Văn Xương
vanKhuc	Văn Khúc
thienKhoi	Thiên Khôi
thienViet	Thiên Việt
taPhu	Tả Phụ
huuBat	Hữu Bật
diaKiep	Địa Kiếp
diaKhong	Địa Không
thienKhong	Thiên Không
hoaLoc	Hóa Lộc
hoaQuyen	Hóa Quyền
hoaKhoa	Hóa Khoa
hoaKy	Hóa Kỵ
daiHao	Đại Hao
tieuHao	Tiểu Hao
tangMon	Tang Môn
bachHo	Bạch Hổ
thienKhoc	Thiên Khốc
thienHu	Thiên Hư
thienMa	Thiên Mã
thienHinh	Thiên Hình
thienRieu	Thiên Riêu
longTri	Long Trì
phuongCac	Phượng Các
tamThai	Tam Thai
batToa	Bát Tọa
anQuang	Ân Quang
thienQuy	Thiên Quý
daoHoa	Đào Hoa
hongLoan	Hồng Loan
thienHi	Thiên Hỉ
thaiPhu	Thai Phụ
phongCao	Phong Cáo
quocAn	Quốc Ấn
duongPhu	Đường Phù
thienTho	Thiên Thọ
bacSi	Bác Sĩ
luuNienVanTinh	LN.Văn Tinh
hoaCai	Hoa Cái
thienTru	Thiên Trù
thienQuan	Thiên Quan
thienPhuc	Thiên Phúc
thienGiai	Thiên Giải
diaGiai	Địa Giải
giaiThan	Giải Thần
thienDuc	Thiên Đức
nguyetDuc	Nguyệt Đức
thienY	Thiên Y
coThan	Cô Thần
quaTu	Quả Tú
dauQuan	Đẩu Quân
thienThuong	Thiên Thương
thienSu	Thiên Sứ
kiepSat	Kiếp Sát
luuHa	Lưu Hà
phaToai	Phá Toái
thienTai	Thiên Tài
thienLa	Thiên La
diaVong	Địa Võng
thaiTue	Thái Tuế
thieuDuong	Thiếu Dương
thieuAm	Thiếu Âm
quanPhur	Quan Phủ
tuPhu	Tử Phù
trucPhu	Trực Phù
tuePha	Tuế Phá
longDuc	Long Đức
dieuKhach	Điếu Khách
lucSi	Lực Sĩ
thanhLong	Thanh Long
tuongQuan	Tướng Quân
tauThu	Tấu Thư
phiLiem	Phi Liêm
hyThan	Hỷ Thần
benhPhu	Bệnh Phù
phucBinh	Phục Binh
quanPhuf	Quan Phù
truongSinh	Trường Sinh
mocDuc	Mộc Dục
quanDoi	Quan Đới
lamQuan	Lâm Quan
deVuong	Đế Vượng
suy	Suy
benh	Bệnh
tu	Tử
mo	Mộ
tuyet	Tuyệt
thai	Thai
duong	Dưỡng
luuLocTon	L.Lộc Tồn
luuBachHo	L.Bạch Hổ
luuDaLa	L.Đà La
luuKinhDuong	L.Kình Dương
luuTangMon	L.Tang Môn
luuThaiTue	L.Thái Tuế
luuThienHu	L.Thiên Hư
luuThienKhoc	L.Thiên Khốc
luuThienMa	L.Thiên Mã
chiBoi	Chỉ Bối
thienSat	Thiên Sát
taiSat	Tai Sát
nguyetSat	Nguyệt Sát
vongThan	Vong Thần
tuongTinh	Tướng Tinh
tucThan	Tức Thần
phanAn	Phan An
amSat	Âm Sát
tueDich	Tuế Dịch
tuan	Tuần
triet	Triệt
tuanTriet	Tuần-Triệt
giap	Giáp
at	Ất
binh	Bính
dinh	Đinh
mau	Mậu
ky	Kỷ
canh	Canh
tan	Tân
nham	Nhâm
quy	Quý
tys	Tý
suu	Sửu
dan	Dần
mao	Mão
thin	Thìn
tyj	Tỵ
ngo	Ngọ
mui	Mùi
dau	Dậu
tuat	Tuất
hoi	Hợi
amDuongThuanLy	Âm - Dương thuận lý
amDuongNghichLy	Âm - Dương nghịch lý
menhCucTiHoa	Mệnh - Cục tị hòa
menhKhacCuc	Mệnh khắc Cục
cucKhacMenh	Cục khắc Mệnh
menhSinhCuc	Mệnh sinh Cục
cucSinhMenh	Cục sinh Mệnh
ying	Âm
yang	Dương
thuyNhiCuc	Thủy Nhị Cục
mocTamCuc	Mộc Tam Cục
kimTuCuc	Kim Tứ Cục
thoNguCuc	Thổ Ngũ Cục
hoaLucCuc	Hỏa Lục Cục
free	Miễn phí
using	Đang sử dụng
days	ngày
buy	Mua
monday	Thứ Hai
tuesday	Thứ Ba
wednesday	Thứ Tư
thursday	Thứ Năm
friday	Thứ Sáu
saturday	Thứ Bảy
sunday	Chủ Nhật
subscribePackage	Đang ký gói
msgExpired	Đã hết hạn vào lúc:
msgCancel	Đã hủy vào lúc:
alertPreviousSubCanceled	Gói đăng ký gần nhất của bạn đã bị hủy vào lúc:
msgExitApp	Bạn muốn thoát ứng dụng?
haiTrungKim	Hải Trung Kim
loTrungHoa	Lô Trung Hỏa
daiLamMoc	Đại Lâm Mộc
loBangTho	Lộ Bàng Thổ
kiemPhongKim	Kiếm Phong Kim
sonDauHoa	Sơn Đầu Hỏa
gianHaThuy	Giản Hạ Thủy
thanhDauTho	Thành Đầu Thổ
bachLapKim	Bạch Lạp Kim
duongLieuMoc	Dương Liễu Mộc
tuyenTrungThuy	Tuyền Trung Thủy
ocThuongTho	Ốc Thượng Thổ
tichLichHoa	Tích Lịch Hỏa
tungBachMoc	Tùng Bách Mộc
truongLuuThuy	Trường Lưu Thủy
saTrungKim	Sa Trung Kim
sonHaHoa	Sơn Hạ Hỏa
binhDiaMoc	Bình Địa Mộc
bichThuongTho	Bích Thượng Thổ
kimBachKim	Kim Bạch Kim
phuDangHoa	Phú Đăng Hỏa
thienHaThuy	Thiên Hà Thủy
daiDichTho	Đại Dịch Thổ
thoaXuyenKim	Thoa Xuyến Kim
tangChaMoc	Tang Chá Mộc
daiKheThuy	Đại Khê Thủy
saTrungTho	Sa Trung Thổ
thienThuongHoa	Thiên Thượng Hỏa
bachLuuMoc	Bạch Lựu Mộc
daiHaiThuy	Đại Hải Thủy
giap	Giáp
at	Ất
binh	Bính
dinh	Đinh
mau	Mậu
ky	Kỷ
canh	Canh
tan	Tân
nham	Nhâm
quy	Quý
tys	Tý
suu	Sửu
dan	Dần
mao	Mão
thin	Thìn
tyj	Tỵ
ngo	Ngọ
mui	Mùi
than	Thân
dau	Dậu
tuat	Tuất
hoi	Hợi
canCanh	Can Canh
canNham	Can Nhâm
canTan	Can Tân
vongTruongSinh	Vòng Trường Sinh
hoaLinh	Hỏa Linh
showAmSat	Hiển thị sao Âm Sát
showTuongTinhCircle	Hiển thị vòng Tướng Tinh
msgThienDongHoaKhoaOption	Thiên Đồng Hóa Khoa - Thái Âm Hóa Kỵ
msgThienDongHoaKyOption	Thiên Đồng Hóa Kỵ - Thái Âm Hóa Khoa
msgThienKhoiNgoOption	Thiên Khôi an tại Ngọ - Thiên Việt an tại Dần
msgThienKhoiSuuOption	Thiên Khôi an tại Sửu - Thiên Việt an tại Mùi
msgThaiDuongHoaQuyenOption	Thái Dương Hóa Quyền
msgThienLuongHoaQuyenOption	Thiên Lương Hóa Quyền
msgThienPhuHoaKhoaOption	Thiên Phủ Hóa Khoa
msgTaPhuHoaKhoaOption	Tả Phụ Hóa Khoa
msgTruongSinhNormalOption	Âm - Dương thuận lý và Âm - Dương nghịch lý an Trường Sinh như nhau
msgTruongSinhDifferentOption	Âm - Dương thuận lý và Âm - Dương nghịch lý an Trường Sinh khác nhau
msgTruongSinhNormalSubtitle	Thủy, Thổ -> Thân, Mộc -> Hợi, Kim -> Tỵ, Hỏa -> Dần
msgTruongSinhDifferentOption	Nghịch lý: Thủy, Thổ -> Tý, Mộc -> Mão, Kim -> Dậu, Hỏa -> Ngọ
msgHoaTinhMaoOption	Tỵ, Dậu, Sửu: Hỏa Tinh khởi từ Mão, Linh Tinh khởi từ Tuất
msgHoaTinhTuatOption	Tỵ, Dậu, Sửu: Hỏa Tinh khởi từ Tuất, Linh Tinh khởi từ Mão
msgLuuHaDinhThinOption	Tuổi Đinh an tại Thìn, tuổi canh an tại Thân
msgLuuHaDinhThanOption	Tuổi Đinh an tại Thân, tuổi canh an tại Thìn
msgDauQuanChiNamSinhOption	An theo chi năm sinh
msgDauQuanNamTyOption	An theo năm Tý
